subject,path,file_count,status
sub-07,/home/fs0/xpsy1114/scratch/data/derivatives/sub-07/func/glm_all_paths-rews-split_buttons_pt01+.feat,3,failed
sub-07,/home/fs0/xpsy1114/scratch/data/derivatives/sub-07/func/glm_all_paths-rews-split_buttons_pt02.feat,3,failed
sub-07,/home/fs0/xpsy1114/scratch/data/derivatives/sub-07/func/glm_all_paths-rews-split_buttons_pt02+.feat,3,failed
sub-07,/home/fs0/xpsy1114/scratch/data/derivatives/sub-07/func/glm_all-rews-split_buttons_pt01.feat,1987,worked
sub-07,/home/fs0/xpsy1114/scratch/data/derivatives/sub-07/func/glm_all-rews-split_buttons_pt01+.feat,1987,worked
sub-07,/home/fs0/xpsy1114/scratch/data/derivatives/sub-07/func/glm_all-rews-split_buttons_pt02.feat,2003,worked
sub-07,/home/fs0/xpsy1114/scratch/data/derivatives/sub-07/func/glm_all-rews-split_buttons_pt02+.feat,2003,worked
sub-07,/home/fs0/xpsy1114/scratch/data/derivatives/sub-07/func/glm_fut-steps_split-buttons_pt01.feat,3,failed
sub-07,/home/fs0/xpsy1114/scratch/data/derivatives/sub-07/func/glm_fut-steps_split-buttons_pt01++.feat,1683,worked
sub-07,/home/fs0/xpsy1114/scratch/data/derivatives/sub-07/func/glm_fut-steps_split-buttons_pt01+.feat,3,failed
sub-07,/home/fs0/xpsy1114/scratch/data/derivatives/sub-07/func/glm_fut-steps_split-buttons_pt02.feat,3,failed
sub-07,/home/fs0/xpsy1114/scratch/data/derivatives/sub-07/func/glm_fut-steps_split-buttons_pt02++.feat,1699,worked
sub-07,/home/fs0/xpsy1114/scratch/data/derivatives/sub-07/func/glm_fut-steps_split-buttons_pt02+.feat,3,failed
sub-07,/home/fs0/xpsy1114/scratch/data/derivatives/sub-07/func/glm_fut-steps_states_split-buttons_pt01.feat,3,failed
sub-07,/home/fs0/xpsy1114/scratch/data/derivatives/sub-07/func/glm_fut-steps_states_split-buttons_pt01++.feat,1835,worked
sub-07,/home/fs0/xpsy1114/scratch/data/derivatives/sub-07/func/glm_fut-steps_states_split-buttons_pt01+.feat,3,failed
sub-07,/home/fs0/xpsy1114/scratch/data/derivatives/sub-07/func/glm_fut-steps_states_split-buttons_pt02.feat,3,failed
sub-07,/home/fs0/xpsy1114/scratch/data/derivatives/sub-07/func/glm_fut-steps_states_split-buttons_pt02++.feat,1851,worked
sub-07,/home/fs0/xpsy1114/scratch/data/derivatives/sub-07/func/glm_fut-steps_states_split-buttons_pt02+.feat,3,failed
sub-08,/home/fs0/xpsy1114/scratch/data/derivatives/sub-08/func/glm_all_paths-rews-split_buttons_pt01.feat,3,failed
sub-08,/home/fs0/xpsy1114/scratch/data/derivatives/sub-08/func/glm_all_paths-rews-split_buttons_pt01+.feat,3,failed
sub-08,/home/fs0/xpsy1114/scratch/data/derivatives/sub-08/func/glm_all_paths-rews-split_buttons_pt02.feat,3,failed
sub-08,/home/fs0/xpsy1114/scratch/data/derivatives/sub-08/func/glm_all_paths-rews-split_buttons_pt02+.feat,3,failed
sub-08,/home/fs0/xpsy1114/scratch/data/derivatives/sub-08/func/glm_all-rews-split_buttons_pt01.feat,1999,worked
sub-08,/home/fs0/xpsy1114/scratch/data/derivatives/sub-08/func/glm_all-rews-split_buttons_pt01+.feat,1999,worked
sub-08,/home/fs0/xpsy1114/scratch/data/derivatives/sub-08/func/glm_all-rews-split_buttons_pt02.feat,2014,worked
sub-08,/home/fs0/xpsy1114/scratch/data/derivatives/sub-08/func/glm_all-rews-split_buttons_pt02+.feat,2014,worked
sub-08,/home/fs0/xpsy1114/scratch/data/derivatives/sub-08/func/glm_fut-steps_split-buttons_pt01.feat,3,failed
sub-08,/home/fs0/xpsy1114/scratch/data/derivatives/sub-08/func/glm_fut-steps_split-buttons_pt01++.feat,1695,worked
sub-08,/home/fs0/xpsy1114/scratch/data/derivatives/sub-08/func/glm_fut-steps_split-buttons_pt01+.feat,3,failed
sub-08,/home/fs0/xpsy1114/scratch/data/derivatives/sub-08/func/glm_fut-steps_split-buttons_pt02.feat,3,failed
sub-08,/home/fs0/xpsy1114/scratch/data/derivatives/sub-08/func/glm_fut-steps_split-buttons_pt02++.feat,1710,worked
sub-08,/home/fs0/xpsy1114/scratch/data/derivatives/sub-08/func/glm_fut-steps_split-buttons_pt02+.feat,3,failed
sub-08,/home/fs0/xpsy1114/scratch/data/derivatives/sub-08/func/glm_fut-steps_states_split-buttons_pt01.feat,3,failed
sub-08,/home/fs0/xpsy1114/scratch/data/derivatives/sub-08/func/glm_fut-steps_states_split-buttons_pt01++.feat,1847,worked
sub-08,/home/fs0/xpsy1114/scratch/data/derivatives/sub-08/func/glm_fut-steps_states_split-buttons_pt01+.feat,3,failed
sub-08,/home/fs0/xpsy1114/scratch/data/derivatives/sub-08/func/glm_fut-steps_states_split-buttons_pt02.feat,3,failed
sub-08,/home/fs0/xpsy1114/scratch/data/derivatives/sub-08/func/glm_fut-steps_states_split-buttons_pt02++.feat,1862,worked
sub-08,/home/fs0/xpsy1114/scratch/data/derivatives/sub-08/func/glm_fut-steps_states_split-buttons_pt02+.feat,3,failed
sub-09,/home/fs0/xpsy1114/scratch/data/derivatives/sub-09/func/glm_all_paths-rews-split_buttons_pt01.feat,3,failed
sub-09,/home/fs0/xpsy1114/scratch/data/derivatives/sub-09/func/glm_all_paths-rews-split_buttons_pt01+.feat,3,failed
sub-09,/home/fs0/xpsy1114/scratch/data/derivatives/sub-09/func/glm_all_paths-rews-split_buttons_pt02.feat,3,failed
sub-09,/home/fs0/xpsy1114/scratch/data/derivatives/sub-09/func/glm_all_paths-rews-split_buttons_pt02+.feat,3,failed
sub-09,/home/fs0/xpsy1114/scratch/data/derivatives/sub-09/func/glm_all-rews-split_buttons_pt01.feat,2012,worked
sub-09,/home/fs0/xpsy1114/scratch/data/derivatives/sub-09/func/glm_all-rews-split_buttons_pt01+.feat,2008,worked
sub-09,/home/fs0/xpsy1114/scratch/data/derivatives/sub-09/func/glm_all-rews-split_buttons_pt02.feat,2023,worked
sub-09,/home/fs0/xpsy1114/scratch/data/derivatives/sub-09/func/glm_all-rews-split_buttons_pt02+.feat,2023,worked
sub-09,/home/fs0/xpsy1114/scratch/data/derivatives/sub-09/func/glm_fut-steps_split-buttons_pt01.feat,3,failed
sub-09,/home/fs0/xpsy1114/scratch/data/derivatives/sub-09/func/glm_fut-steps_split-buttons_pt01++++.feat,1704,worked
sub-09,/home/fs0/xpsy1114/scratch/data/derivatives/sub-09/func/glm_fut-steps_split-buttons_pt01+++.feat,3,failed
sub-09,/home/fs0/xpsy1114/scratch/data/derivatives/sub-09/func/glm_fut-steps_split-buttons_pt01++.feat,189,worked
sub-09,/home/fs0/xpsy1114/scratch/data/derivatives/sub-09/func/glm_fut-steps_split-buttons_pt01+.feat,189,worked
sub-09,/home/fs0/xpsy1114/scratch/data/derivatives/sub-09/func/glm_fut-steps_split-buttons_pt02.feat,3,failed
sub-09,/home/fs0/xpsy1114/scratch/data/derivatives/sub-09/func/glm_fut-steps_split-buttons_pt02++.feat,1719,worked
sub-09,/home/fs0/xpsy1114/scratch/data/derivatives/sub-09/func/glm_fut-steps_split-buttons_pt02+.feat,3,failed
sub-09,/home/fs0/xpsy1114/scratch/data/derivatives/sub-09/func/glm_fut-steps_states_split-buttons_pt01.feat,3,failed
sub-09,/home/fs0/xpsy1114/scratch/data/derivatives/sub-09/func/glm_fut-steps_states_split-buttons_pt01++.feat,1856,worked
sub-09,/home/fs0/xpsy1114/scratch/data/derivatives/sub-09/func/glm_fut-steps_states_split-buttons_pt01+.feat,3,failed
sub-09,/home/fs0/xpsy1114/scratch/data/derivatives/sub-09/func/glm_fut-steps_states_split-buttons_pt02.feat,3,failed
