Thu Apr  6 11:25:21 2023    ./profile

         260722 function calls (256219 primitive calls) in 11.308 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3836    0.001    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/dtypes/generic.py:45(_instancecheck)
       16    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:618(copy)
     1528    0.001    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/core/numeric.py:1347(normalize_axis_tuple)
       21    0.001    0.000    0.001    0.000 {method 'nonzero' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:177(nonzero)
        1    0.000    0.000    0.001    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1866(nonzero)
      308    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/_config/config.py:134(_get_option)
       44    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/frame.py:4130(_iset_item_mgr)
       52    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/concat.py:199(<listcomp>)
      113    0.001    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/concat.py:278(_get_mgr_concatenation_plan)
       44    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:1185(iset)
      276    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(cumsum)
       24    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/construction.py:496(nested_data_to_arrays)
       86    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/base.py:6619(_maybe_cast_listlike_indexer)
       22    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexing.py:911(_getitem_tuple_same_dim)
       70    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/blocks.py:544(copy)
       24    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/construction.py:100(arrays_to_mgr)
       64    0.000    0.000    0.001    0.000 <__array_function__ internals>:177(broadcast_to)
      276    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/core/fromnumeric.py:2497(cumsum)
      118    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/base.py:6328(_should_compare)
       22    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexing.py:1629(_get_slice_axis)
       24    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/construction.py:790(to_arrays)
       92    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/series.py:342(__init__)
       52    0.001    0.000    0.001    0.000 {method '_rebuild_blknos_and_blklocs' of 'pandas._libs.internals.BlockManager' objects}
      236    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/generic.py:5844(__finalize__)
      192    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/managers.py:2427(_using_copy_on_write)
       44    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/frame.py:3701(_ixs)
       24    0.000    0.000    0.001    0.000 /Users/xpsy1114/Documents/projects/multiple_clocks/multiple_clocks_repo/mc/simulation/predictions.py:723(set_single_clock)
      308    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/_config/config.py:116(_get_single_key)
       22    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/generic.py:4097(_slice)
       64    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/lib/stride_tricks.py:367(broadcast_to)
       76    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/range.py:458(copy)
     3672    0.000    0.000    0.001    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:177(diff)
        1    0.001    0.001    0.001    0.001 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/lib/function_base.py:1319(diff)
       66    0.001    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/lib/stride_tricks.py:340(_broadcast_to)
        5    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
     3836    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/dtypes/generic.py:40(_check)
       24    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/internals/construction.py:958(_finalize_columns_and_data)
      454    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/dtypes/base.py:286(is_dtype)
       30    0.000    0.000    0.001    0.000 {built-in method builtins.sorted}
       22    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/common.py:258(index_labels_to_array)
      368    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/dtypes/common.py:501(is_categorical_dtype)
       18    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexes/range.py:664(_union)
       66    0.000    0.000    0.001    0.000 /Users/xpsy1114/miniconda3/envs/env_multiple_clocks/lib/python3.8/site-packages/pandas/core/indexing.py:864(_validate_tuple_indexer)
